cat,F1,Precision,Recall,cIoU,dataset,seed
swinT,0.7671405076980591,0.8271158337593079,0.7152748703956604,0.6222448348999023,sysu,42
swinT,0.8808619976043701,0.903562307357788,0.8592743873596191,0.7870897054672241,levir,42
swinT,0.7699151635169983,0.8151692748069763,0.7294213771820068,0.6259041428565979,egybcd,42
swinT,0.8795433640480042,0.8827435374259949,0.8763663172721863,0.7849865555763245,gvlm,42
swinT,0.6031777262687683,0.7057503461837769,0.5266371369361877,0.4318213760852813,clcd,42
swinT,0.5017533302307129,0.4819957911968231,0.5231998562812805,0.3348936736583709,oscd96,42
swinT,0.7693844437599182,0.8322279453277588,0.7153654098510742,0.6252028346061707,sysu,1337
swinT,0.8810319900512695,0.8984282612800598,0.8642966151237488,0.787361204624176,levir,1337
swinT,0.766167163848877,0.8088589310646057,0.7277560830116272,0.6209651827812195,egybcd,1337
swinT,0.8730252385139465,0.8775721192359924,0.8685252070426941,0.7746626138687134,gvlm,1337
swinT,0.6315320730209351,0.6749053001403809,0.5933970808982849,0.4614884257316589,clcd,1337
swinT,0.3409890532493591,0.551687479019165,0.2467508763074875,0.2055375427007675,oscd96,1337
swinT,0.7723581194877625,0.8240038752555847,0.7268045544624329,0.6291396617889404,sysu,564738
swinT,0.882816731929779,0.9036669135093688,0.8629070520401001,0.7902166247367859,levir,564738
swinT,0.7644362449645996,0.808312177658081,0.725078284740448,0.6186942458152771,egybcd,564738
swinT,0.8719497919082642,0.9125140905380248,0.8348383903503418,0.7729707360267639,gvlm,564738
swinT,0.6459025144577026,0.684071958065033,0.6117675304412842,0.4769985675811767,clcd,564738
swinT,0.2669042646884918,0.5816903114318848,0.1731842905282974,0.1540043354034423,oscd96,564738
swinTin1k_ce,0.8220297694206238,0.8923481106758118,0.7619842290878296,0.6978357434272766,sysu,42
swinTin1k_ce,0.9099777340888976,0.9248592257499696,0.8955675363540649,0.8348248600959778,levir,42
swinTin1k_ce,0.8373055458068848,0.8523436784744263,0.8227888345718384,0.7201423645019531,egybcd,42
swinTin1k_ce,0.8852675557136536,0.8918728828430176,0.8787593245506287,0.7941524982452393,gvlm,42
swinTin1k_ce,0.750075101852417,0.7770219445228577,0.7249345779418945,0.6000961065292358,clcd,42
swinTin1k_ce,0.4397140741348266,0.5905725359916687,0.3502457439899444,0.2818163335323334,oscd96,42
swinTin1kFlip_ce,0.8159613013267517,0.8853669166564941,0.7566463351249695,0.6891340017318726,sysu,42
swinTin1kFlip_ce,0.914276361465454,0.925897181034088,0.9029435515403748,0.8420893549919128,levir,42
swinTin1kFlip_ce,0.851060688495636,0.8791078329086304,0.8247478604316711,0.7407360076904297,egybcd,42
swinTin1kFlip_ce,0.9002619385719299,0.9178076982498168,0.8833744525909424,0.8186149001121521,gvlm,42
swinTin1kFlip_ce,0.7877702713012695,0.8395750522613525,0.7419870495796204,0.6498523354530334,clcd,42
swinTin1kFlip_ce,0.499275654554367,0.6336126327514648,0.4119376540184021,0.3326897919178009,oscd96,42
swinTin1k_ce,0.8190856575965881,0.8925086259841919,0.7568249106407166,0.6936030387878418,sysu,1337
swinTin1k_ce,0.9084387421607972,0.924996018409729,0.892463743686676,0.832237958908081,levir,1337
swinTin1k_ce,0.8335447311401367,0.8445888161659241,0.8227857351303101,0.7145963311195374,egybcd,1337
swinTin1k_ce,0.8861744403839111,0.8893988132476807,0.882973313331604,0.7956132888793945,gvlm,1337
swinTin1k_ce,0.7426337599754333,0.7854520082473755,0.7042426466941833,0.5906264781951904,clcd,1337
swinTin1k_ce,0.5273812413215637,0.4918832778930664,0.5684012174606323,0.3581247329711914,oscd96,1337
swinTin1kFlip_ce,0.8139398694038391,0.8827512860298157,0.75508052110672,0.686255156993866,sysu,1337
swinTin1kFlip_ce,0.9134415984153748,0.9276012182235718,0.8997076749801636,0.8406741619110107,levir,1337
swinTin1kFlip_ce,0.8546969890594482,0.8797811269760132,0.8310036063194275,0.7462627291679382,egybcd,1337
swinTin1kFlip_ce,0.8987734317779541,0.9158901572227478,0.8822847604751587,0.8161566853523254,gvlm,1337
swinTin1kFlip_ce,0.7826344966888428,0.8573850393295288,0.7198728919029236,0.6428920030593872,clcd,1337
swinTin1kFlip_ce,0.5041428208351135,0.5680907964706421,0.4531349539756775,0.3370260298252105,oscd96,1337
swinTin1k_ce,0.8189771175384521,0.8913955688476562,0.7574414014816284,0.6934472918510437,sysu,564738
swinTin1k_ce,0.91048401594162,0.9272695183753968,0.8942953944206238,0.8356775045394897,levir,564738
swinTin1k_ce,0.833132803440094,0.8406308889389038,0.8257673382759094,0.7139911651611328,egybcd,564738
swinTin1k_ce,0.8920543193817139,0.8963962197303772,0.8877542614936829,0.8051426410675049,gvlm,564738
swinTin1k_ce,0.7453340291976929,0.7595686912536621,0.7316231727600098,0.5940498113632202,clcd,564738
swinTin1k_ce,0.4614088833332062,0.5679225325584412,0.3885385990142822,0.2998905181884765,oscd96,564738
swinTin1kFlip_ce,0.8077328205108643,0.8871927857398987,0.7413362860679626,0.6774764060974121,sysu,564738
swinTin1kFlip_ce,0.914211630821228,0.9291257858276368,0.8997687101364136,0.8419795632362366,levir,564738
swinTin1kFlip_ce,0.8572765588760376,0.8771860003471375,0.8382508158683777,0.7502048015594482,egybcd,564738
swinTin1kFlip_ce,0.9020679593086244,0.9236654043197632,0.8814574480056763,0.8216063976287842,gvlm,564738
swinTin1kFlip_ce,0.7900899648666382,0.850974977016449,0.7373355031013489,0.6530154347419739,clcd,564738
swinTin1kFlip_ce,0.5269097685813904,0.5646927356719971,0.4938657581806183,0.3576900660991668,oscd96,564738
swinTcitySemFlip_ce,0.8088800311088562,0.8974719643592834,0.7362070083618164,0.6790919899940491,sysu,42
swinTcitySemFlip_ce,0.916127860546112,0.9264580607414246,0.9060254693031312,0.84523606300354,levir,42
swinTcitySemFlip_ce,0.8608806133270264,0.8840610384941101,0.838884711265564,0.7557422518730164,egybcd,42
swinTcitySemFlip_ce,0.900530993938446,0.908873438835144,0.892340362071991,0.8190599679946899,gvlm,42
swinTcitySemFlip_ce,0.7915104627609253,0.8512434959411621,0.7396108508110046,0.6549584865570068,clcd,42
swinTcitySemFlip_ce,0.5327726602554321,0.5333766341209412,0.5321700572967529,0.3631152808666229,oscd96,42
swinTcitySemFlipCos_ce,0.8091410398483276,0.8868011236190796,0.7439876198768616,0.6794599890708923,sysu,42
swinTcitySemFlipCos_ce,0.9155016541481018,0.9321011304855348,0.8994830250740051,0.8441706299781799,levir,42
swinTcitySemFlipCos_ce,0.8618767857551575,0.8932681679725647,0.8326168656349182,0.7572790384292603,egybcd,42
swinTcitySemFlipCos_ce,0.9051883816719056,0.9166686534881592,0.8939920663833618,0.8267983198165894,gvlm,42
swinTcitySemFlipCos_ce,0.803388774394989,0.8576234579086304,0.7556055784225464,0.6713866591453552,clcd,42
swinTcitySemFlipCos_ce,0.5426120162010193,0.5845317244529724,0.5063024759292603,0.3723181486129761,oscd96,42
swinTcitySemFlip_ce,0.8117722272872925,0.9012178182601928,0.7384784817695618,0.6831789612770081,sysu,1337
